open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,take_buy_base_asset_volume,take_buy_quote_asset_volume,ignore
1610985600000,36405.99,36565.0,35400.0,35956.14,10602.829967,1610999999999,380387474.99417233,308949,5053.926194,181359028.8204334,0.0
1611000000000,35951.83,36777.77,35755.01,36631.27,7472.825425,1611014399999,271276486.3004732,202536,4033.285438,146440523.721212,0.0
1611014400000,36622.46,37280.0,36364.43,36465.3,15332.388515,1611028799999,564457871.6667069,340152,8235.410375,303280103.140037,0.0
1611028800000,36468.31,37233.87,36002.01,37168.82,11299.226279,1611043199999,413243384.1947598,264386,5323.976964,194849640.89939177,0.0
1611043200000,37167.92,37535.27,36750.0,37266.49,15170.795477,1611057599999,563851434.9204919,326288,7490.142563,278479548.1613631,0.0
1611057600000,37263.73,37449.0,36610.0,37329.4,11966.646727,1611071999999,443454567.35785156,291327,5528.80394,204946106.988447,0.0
1611072000000,37329.4,37850.0,36052.04,36279.82,15604.759741,1611086399999,577774848.4660553,438646,7733.567306,286657736.24609596,0.0
1611086400000,36281.66,36777.88,35844.06,35891.49,10237.49103,1611100799999,372566392.73834854,278572,4392.780472,160022574.41663444,0.0
1611100800000,35901.94,36415.31,35000.0,35062.49,13775.591884,1611115199999,493054481.7952016,340127,6331.010615,226833488.11814862,0.0
1611115200000,35062.49,35909.95,34737.0,35677.14,14008.503787,1611129599999,495275155.78981066,345667,6476.145939,229102803.6236025,0.0
1611129600000,35672.86,35939.12,34000.0,34426.17,19109.325555,1611143999999,665235713.2395376,475164,9103.686718,317008990.3871801,0.0
1611144000000,34426.17,35142.18,34020.0,34192.17,16110.185363,1611158399999,558420165.5870454,399700,7662.692569,265663219.78850964,0.0
1611158400000,34193.11,35311.0,33400.0,35197.12,17678.214489,1611172799999,609788215.4215769,405424,8578.239421,296355037.71259373,0.0
1611172800000,35197.12,35670.0,34482.75,35468.23,8686.60184,1611187199999,304947361.68760395,268457,4394.858815,154326428.8064355,0.0
1611187200000,35468.23,35600.0,34230.76,34571.09,10995.708084,1611201599999,382534572.6658602,276551,5312.777365,184847259.7339265,0.0
1611201600000,34572.42,35019.01,33971.41,34624.27,11645.035984,1611215999999,402249767.6421489,307012,5567.142082,192398983.90506846,0.0
1611216000000,34624.27,34681.73,32009.68,32208.62,28971.19234,1611230399999,956299850.9297441,593082,13285.406812,438315221.13428915,0.0
1611230400000,32206.89,32784.31,31037.0,31384.09,34496.344978,1611244799999,1098700511.317413,678014,16740.844063,533491923.63585967,0.0
1611244800000,31384.19,32751.24,31038.51,32468.66,22066.375705,1611259199999,703426642.202343,475062,10858.107557,346415878.2537232,0.0
1611259200000,32468.66,32550.0,30071.0,30850.13,23628.525835,1611273599999,738009229.1779207,491031,10041.683644,313920554.54989284,0.0
1611273600000,30851.99,31029.79,28850.0,30943.4,46814.392887,1611287999999,1401351511.7186809,763422,22490.461041,673360006.8838929,0.0
1611288000000,30943.4,32152.9,30615.22,30842.45,22771.825982,1611302399999,714631925.7203896,416036,10342.647905,324544154.9615336,0.0
1611302400000,30846.59,31997.0,30500.0,31710.88,21911.246263,1611316799999,688143056.7332398,453252,11585.248139,363973998.52904993,0.0
1611316800000,31712.09,32767.44,31286.0,32458.42,21741.698419,1611331199999,698759051.8259065,430605,10728.471464,344702343.6110255,0.0
1611331200000,32462.79,33655.79,31955.67,33589.52,17631.165195,1611345599999,577566875.9528675,355692,8936.356235,292784191.37653464,0.0
1611345600000,33589.52,33826.53,32580.0,32945.17,12101.355303,1611359999999,402843450.0711885,288803,6067.003671,201796875.1366342,0.0
1611360000000,32950.0,32974.89,32053.33,32365.01,12211.52203,1611374399999,396977871.25187165,286256,6450.237,209695248.41126016,0.0
1611374400000,32365.0,33456.0,32267.07,32931.18,11464.516691,1611388799999,377288516.4541976,295644,5825.775191,191730528.48337355,0.0
1611388800000,32931.17,33104.94,31511.24,31645.49,13454.305895,1611403199999,435104409.3515308,357063,6638.087573,214698539.88847584,0.0
1611403200000,31643.9,32289.25,31390.16,31877.1,10854.235249,1611417599999,345583078.05690014,304621,5634.849912,179439525.35431424,0.0
1611417600000,31877.1,32500.0,31759.65,32348.79,9253.459243,1611431999999,297648723.97589946,258013,4625.882283,148809717.98281276,0.0
1611432000000,32348.78,32538.61,31812.5,32078.0,7357.248567,1611446399999,236495696.66803697,198459,3505.944169,112740614.43199071,0.0
1611446400000,32078.0,32480.06,31630.0,32480.05,7766.19687,1611460799999,248742263.97282487,203631,3985.507651,127686967.13053647,0.0
1611460800000,32480.06,33071.0,32346.44,32801.15,11135.544522,1611475199999,363936948.6317605,242775,5608.434606,183354523.03861445,0.0
